Method;LOC;CC;NP;NV;NEST;Ca;Ce;NChg;NCall
ShareX.HelpersLib.DownloaderForm.btnAction_MouseClick(Object,MouseEventArgs);8.0;4.0;2;3.0;2.0;1;3;2.0;0.0
ShareX.HelpersLib.DownloaderForm.Install();5.0;2.0;0;1.0;1.0;2;3;1.0;0.0
ShareX.HelpersLib.DownloaderForm.RunInstallerWithDelay(Int32);7.0;3.0;1;2.0;1.0;1;2;2.0;0.0
ShareX.HelpersLib.DownloaderForm.RunInstaller();12.0;6.0;0;5.0;1.0;1;4;9.0;0.0
ShareX.HelpersLib.DownloaderForm.OnInstallRequested();3.0;2.0;0;1.0;1.0;1;2;2.0;0.0
ShareX.HelpersLib.DownloaderForm.ChangeStatus(String);1.0;1.0;1;0.0;0.0;5;2;3.0;0.0
ShareX.HelpersLib.DownloaderForm.HandleDownloadException(Exception);10.0;5.0;1;7.0;4.0;1;2;2.0;0.0
ShareX.HelpersLib.DownloaderForm.ChangeFormForPossibleProxyDetected();6.0;1.0;0;0.0;0.0;1;6;1.0;0.0
ShareX.HelpersLib.DownloaderForm.ChangeProgress();3.0;2.0;0;1.0;1.0;1;7;6.0;0.0
ShareX.HelpersLib.DownloaderForm.ChangeProgressForCanceledDownload();1.0;1.0;0;0.0;0.0;1;3;2.0;0.0
ShareX.HelpersLib.DownloaderForm.StartDownload();19.0;7.0;0;2.0;1.0;2;24;6.0;0.0
ShareX.HelpersLib.DownloaderForm.UpdateFormSize();3.0;2.0;0;2.0;1.0;3;1;1.0;0.0
ShareX.HelpersLib.DownloaderForm.fileDownloader_DownloadCompleted(Object,EventArgs);5.0;2.0;2;1.0;1.0;1;6;2.0;0.0
ShareX.HelpersLib.DownloaderForm.cbShowChangelog_CheckedChanged(Object,EventArgs);1.0;1.0;2;0.0;0.0;1;1;1.0;0.0
ShareX.HelpersLib.DownloaderForm.UpdaterForm_FormClosing(Object,FormClosingEventArgs);2.0;3.0;2;1.0;1.0;1;2;1.0;0.0
ShareX.HelpersLib.DownloaderForm.Dispose(Boolean);3.0;3.0;1;1.0;1.0;0;0;1.0;0.0
ShareX.HelpersLib.DownloaderForm.InitializeComponent();72.0;1.0;0;1.0;0.0;1;13;9.0;0.0
ShareX.HelpersLib.FileDownloader.FileDownloader(String,Stream,IWebProxy,String);11.0;1.0;4;0.0;0.0;1;6;2.0;0.0
ShareX.HelpersLib.FileDownloader.StartDownload();4.0;4.0;0;1.0;2.0;1;4;1.0;0.0
ShareX.HelpersLib.FileDownloader.ResumeDownload();2.0;2.0;0;1.0;1.0;0;2;1.0;0.0
ShareX.HelpersLib.FileDownloader.PauseDownload();2.0;2.0;0;1.0;1.0;0;2;1.0;0.0
ShareX.HelpersLib.FileDownloader.StopDownload();2.0;2.0;0;1.0;1.0;1;2;1.0;0.0
ShareX.HelpersLib.FileDownloader.ThrowEvent(EventHandler);1.0;1.0;1;0.0;0.0;1;0;2.0;0.0
ShareX.HelpersLib.FileDownloader.worker_DoWork(Object,DoWorkEventArgs);43.0;14.0;2;20.0;4.0;1;12;5.0;0.0
ShareX.HelpersLib.FileDownloader.worker_ProgressChanged(Object,ProgressChangedEventArgs);3.0;2.0;2;2.0;1.0;1;0;1.0;0.0
ShareX.HelpersLib.FileDownloader.worker_RunWorkerCompleted(Object,RunWorkerCompletedEventArgs);1.0;1.0;2;0.0;0.0;1;1;2.0;0.0
ShareX.HelpersLib.BlackStyleButton.BlackStyleButton();6.0;1.0;0;0.0;0.0;5;1;4.0;4.0
ShareX.HelpersLib.BlackStyleButton.Prepare();4.0;1.0;0;1.0;0.0;2;0;3.0;8.0
ShareX.HelpersLib.BlackStyleButton.OnPaint(PaintEventArgs);5.0;2.0;1;2.0;1.0;0;2;1.0;8.0
ShareX.HelpersLib.BlackStyleButton.OnMouseEnter(EventArgs);3.0;1.0;1;0.0;0.0;0;0;1.0;3.0
ShareX.HelpersLib.BlackStyleButton.OnMouseLeave(EventArgs);3.0;1.0;1;0.0;0.0;0;0;1.0;3.0
ShareX.HelpersLib.BlackStyleButton.OnResize(EventArgs);2.0;1.0;1;0.0;0.0;0;1;1.0;4.0
ShareX.HelpersLib.BlackStyleButton.DrawBackground(Graphics);5.0;2.0;1;2.0;1.0;1;0;1.0;8.0
ShareX.HelpersLib.BlackStyleButton.DrawText(Graphics);2.0;1.0;1;1.0;0.0;1;0;2.0;8.0
ShareX.HelpersLib.BlackStyleButton.Dispose(Boolean);11.0;6.0;1;5.0;1.0;0;0;2.0;4.0
ShareX.HelpersLib.BlackStyleCheckBox.BlackStyleCheckBox();17.0;1.0;0;1.0;0.0;3;1;4.0;2.0
ShareX.HelpersLib.BlackStyleCheckBox.OnPaint(PaintEventArgs);5.0;2.0;1;2.0;1.0;0;2;1.0;6.0
ShareX.HelpersLib.BlackStyleCheckBox.OnMouseEnter(EventArgs);3.0;1.0;1;0.0;0.0;0;0;1.0;2.0
ShareX.HelpersLib.BlackStyleCheckBox.OnMouseLeave(EventArgs);3.0;1.0;1;0.0;0.0;0;0;1.0;2.0
ShareX.HelpersLib.BlackStyleCheckBox.OnClick(EventArgs);2.0;1.0;1;0.0;0.0;0;2;2.0;0.0
ShareX.HelpersLib.BlackStyleCheckBox.OnCheckedChanged(EventArgs);2.0;2.0;1;1.0;1.0;1;0;2.0;0.0
ShareX.HelpersLib.BlackStyleCheckBox.DrawBackground(Graphics);8.0;3.0;1;2.0;1.0;1;1;2.0;6.0
ShareX.HelpersLib.BlackStyleCheckBox.DrawText(Graphics);4.0;1.0;1;3.0;0.0;1;1;3.0;6.0
ShareX.HelpersLib.BlackStyleCheckBox.Dispose(Boolean);15.0;8.0;1;7.0;1.0;0;0;2.0;2.0
ShareX.HelpersLib.BlackStyleLabel.BlackStyleLabel();8.0;1.0;0;0.0;0.0;4;2;4.0;4.0
ShareX.HelpersLib.BlackStyleLabel.OnPaint(PaintEventArgs);5.0;3.0;1;3.0;2.0;0;2;1.0;4.0
ShareX.HelpersLib.BlackStyleLabel.DrawText(Graphics);21.0;11.0;1;4.0;6.0;1;2;2.0;4.0
ShareX.HelpersLib.BlackStyleProgressBar.BlackStyleProgressBar();5.0;1.0;0;0.0;0.0;1;0;3.0;0.0
ShareX.HelpersLib.BlackStyleProgressBar.OnPaint(PaintEventArgs);5.0;3.0;1;2.0;1.0;0;5;1.0;0.0
ShareX.HelpersLib.BlackStyleProgressBar.DrawBackground(Graphics);7.0;1.0;1;4.0;2.0;1;0;1.0;0.0
ShareX.HelpersLib.BlackStyleProgressBar.DrawProgressBar(Graphics);11.0;1.0;1;7.0;2.0;1;2;2.0;0.0
ShareX.HelpersLib.Canvas.Canvas();3.0;1.0;0;0.0;0.0;1;1;1.0;2.0
ShareX.HelpersLib.Canvas.Start();6.0;3.0;0;1.0;1.0;1;3;2.0;0.0
ShareX.HelpersLib.Canvas.Start(Int32);2.0;1.0;1;0.0;0.0;1;2;1.0;0.0
ShareX.HelpersLib.Canvas.Stop();3.0;2.0;0;1.0;1.0;2;0;1.0;2.0
ShareX.HelpersLib.Canvas.Dispose(Boolean);2.0;1.0;1;0.0;0.0;0;1;1.0;2.0
ShareX.HelpersLib.Canvas.timer_Tick(Object,EventArgs);2.0;1.0;2;0.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.Canvas.OnPaint(PaintEventArgs);3.0;2.0;1;1.0;1.0;0;1;1.0;2.0
ShareX.HelpersLib.Canvas.OnDraw(Graphics);2.0;2.0;1;1.0;1.0;1;1;1.0;0.0
ShareX.HelpersLib.ColorButton.OnColorChanged(Color);2.0;2.0;1;1.0;1.0;1;1;1.0;26.0
ShareX.HelpersLib.ColorButton.OnMouseClick(MouseEventArgs);3.0;2.0;1;1.0;1.0;0;2;2.0;1.0
ShareX.HelpersLib.ColorButton.ShowColorDialog();2.0;2.0;0;2.0;1.0;2;3;3.0;1.0
ShareX.HelpersLib.ColorButton.OnPaint(PaintEventArgs);12.0;3.0;1;10.0;3.0;0;3;3.0;86.0
ShareX.HelpersLib.MenuButton.OnMouseDown(MouseEventArgs);6.0;4.0;1;3.0;2.0;0;2;4.0;10.0
ShareX.HelpersLib.MenuButton.OnPaint(PaintEventArgs);7.0;3.0;1;6.0;2.0;0;1;2.0;82.0
ShareX.HelpersLib.NoFocusBorderButton.NoFocusBorderButton();4.0;1.0;0;0.0;0.0;0;0;1.0;0.0
ShareX.HelpersLib.NoFocusBorderButton.OnPaint(PaintEventArgs);4.0;1.0;1;3.0;2.0;0;0;1.0;0.0
ShareX.HelpersLib.NativeMethods.GetForegroundWindowText();2.0;1.0;0;2.0;0.0;0;2;2.0;0.0
ShareX.HelpersLib.NativeMethods.GetWindowText(IntPtr);9.0;5.0;1;7.0;4.0;2;3;2.0;1645.0
ShareX.HelpersLib.NativeMethods.GetForegroundWindowProcess();2.0;1.0;0;2.0;0.0;1;2;1.0;0.0
ShareX.HelpersLib.NativeMethods.GetForegroundWindowProcessName();2.0;1.0;0;2.0;2.0;0;1;2.0;0.0
ShareX.HelpersLib.NativeMethods.GetProcessByWindowHandle(IntPtr);6.0;3.0;1;4.0;2.0;2;2;1.0;17.0
ShareX.HelpersLib.NativeMethods.GetClassName(IntPtr);5.0;3.0;1;4.0;2.0;1;1;1.0;675.0
ShareX.HelpersLib.NativeMethods.GetClassLongPtrSafe(IntPtr,Int32);3.0;2.0;2;2.0;1.0;2;2;1.0;267.0
ShareX.HelpersLib.NativeMethods.GetSmallApplicationIcon(IntPtr);10.0;5.0;1;6.0;3.0;1;2;2.0;631.0
ShareX.HelpersLib.NativeMethods.GetBigApplicationIcon(IntPtr);6.0;3.0;1;4.0;1.0;1;2;2.0;0.0
ShareX.HelpersLib.NativeMethods.GetApplicationIcon(IntPtr);1.0;2.0;1;1.0;1.0;1;2;1.0;0.0
ShareX.HelpersLib.NativeMethods.GetBorderSize(IntPtr,Size);6.0;2.0;2;4.0;1.0;1;1;1.0;0.0
ShareX.HelpersLib.NativeMethods.GetWindowRegion(IntPtr,Region);4.0;2.0;2;3.0;1.0;0;2;1.0;0.0
ShareX.HelpersLib.NativeMethods.IsDWMEnabled();1.0;2.0;0;1.0;1.0;4;2;1.0;0.0
ShareX.HelpersLib.NativeMethods.GetExtendedFrameBounds(IntPtr,Rectangle);3.0;1.0;2;3.0;0.0;1;2;1.0;1107.0
ShareX.HelpersLib.NativeMethods.GetNCRenderingEnabled(IntPtr);2.0;2.0;1;3.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.NativeMethods.SetNCRenderingPolicy(IntPtr,DwmNCRenderingPolicy);2.0;1.0;2;1.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.NativeMethods.GetWindowRect(IntPtr);2.0;1.0;1;2.0;0.0;3;2;1.0;0.0
ShareX.HelpersLib.NativeMethods.GetClientRect(IntPtr);4.0;1.0;1;3.0;0.0;4;4;1.0;429.0
ShareX.HelpersLib.NativeMethods.MaximizedWindowFix(IntPtr,Rectangle);3.0;2.0;2;3.0;1.0;1;1;1.0;0.0
ShareX.HelpersLib.NativeMethods.ActivateWindow(IntPtr);2.0;1.0;1;0.0;0.0;1;2;1.0;0.0
ShareX.HelpersLib.NativeMethods.ActivateWindowRepeat(IntPtr,Int32);6.0;3.0;2;2.0;2.0;0;2;1.0;0.0
ShareX.HelpersLib.NativeMethods.GetTaskbarRectangle();3.0;1.0;0;2.0;0.0;0;3;1.0;0.0
ShareX.HelpersLib.NativeMethods.SetTaskbarVisibilityIfIntersect(Boolean,Rectangle);15.0;9.0;2;11.0;5.0;2;6;1.0;0.0
ShareX.HelpersLib.NativeMethods.SetTaskbarVisibility(Boolean);9.0;7.0;1;6.0;4.0;2;5;1.0;0.0
ShareX.HelpersLib.NativeMethods.TrimMemoryUse();3.0;1.0;0;0.0;0.0;0;1;3.0;0.0
ShareX.HelpersLib.NativeMethods.IsWindowMaximized(IntPtr);4.0;1.0;1;2.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.NativeMethods.IsWindowCloaked(IntPtr);4.0;3.0;1;4.0;2.0;2;2;3.0;2139.0
ShareX.HelpersLib.NativeMethods.RestoreWindow(IntPtr);7.0;2.0;1;2.0;1.0;1;2;1.0;1.0
ShareX.HelpersLib.NativeMethods.AVISaveOptions(IntPtr,AVICOMPRESSOPTIONS,IntPtr);13.0;1.0;3;5.0;0.0;0;2;2.0;0.0
ShareX.HelpersLib.NativeMethods.mmioFOURCC(String);1.0;1.0;1;1.0;0.0;0;0;1.0;0.0
ShareX.HelpersLib.NativeMethods.decode_mmioFOURCC(Int32);8.0;3.0;1;5.0;2.0;0;0;1.0;0.0
ShareX.HelpersLib.NativeMethods.Is64Bit();1.0;4.0;0;1.0;2.0;3;1;4.0;1.0
ShareX.HelpersLib.NativeMethods.Is32BitProcessOn64BitProcessor();2.0;1.0;0;2.0;0.0;1;1;2.0;0.0
ShareX.HelpersLib.NativeMethods.FlashWindowEx(Form,UInt32);7.0;1.0;2;2.0;0.0;1;1;2.0;0.0
ShareX.HelpersLib.NativeMethods.OpenFolderAndSelectFile(String);3.0;1.0;1;1.0;1.0;1;3;2.0;2.0
ShareX.HelpersLib.NativeMethods.CreateProcess(String,String,CreateProcessFlags);7.0;1.0;3;5.0;0.0;1;1;2.0;0.0
ShareX.HelpersLib.RECT.RECT(Int32,Int32,Int32,Int32);4.0;1.0;4;0.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.RECT.RECT(Rectangle);1.0;1.0;1;0.0;0.0;2;1;1.0;0.0
ShareX.HelpersLib.RECT.Equals(RECT);1.0;4.0;1;1.0;3.0;3;0;1.0;0.0
ShareX.HelpersLib.RECT.Equals(Object);5.0;3.0;1;3.0;1.0;0;2;2.0;0.0
ShareX.HelpersLib.RECT.GetHashCode();1.0;1.0;0;2.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.RECT.ToString();1.0;1.0;0;1.0;0.0;0;0;1.0;0.0
ShareX.HelpersLib.SIZE.SIZE(Int32,Int32);2.0;1.0;2;0.0;0.0;2;0;1.0;0.0
ShareX.HelpersLib.SIZE.ToString();1.0;1.0;0;1.0;0.0;0;0;1.0;0.0
ShareX.HelpersLib.POINT.POINT(Int32,Int32);2.0;1.0;2;0.0;0.0;2;0;1.0;0.0
ShareX.HelpersLib.WINDOWINFO.WINDOWINFO(Nullable<Boolean>);2.0;1.0;1;0.0;0.0;0;0;1.0;0.0
ShareX.HelpersLib.APPBARDATA.NewAPPBARDATA();3.0;1.0;0;2.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.BITMAPFILEHEADER.BITMAPFILEHEADER();1.0;1.0;0;0.0;0.0;0;0;1.0;0.0
ShareX.HelpersLib.BITMAPINFOHEADER.BITMAPINFOHEADER(Int32,Int32,UInt16);27.0;1.0;3;0.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.CIEXYZ.CIEXYZ(UInt32);3.0;1.0;1;0.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.PrintForm.PrintForm(Image,PrintSettings,Boolean);8.0;1.0;3;1.0;0.0;2;5;2.0;0.0
ShareX.HelpersLib.PrintForm.Dispose(Boolean);6.0;4.0;1;3.0;2.0;0;1;1.0;0.0
ShareX.HelpersLib.PrintForm.PrintForm_Shown(Object,EventArgs);1.0;1.0;2;0.0;0.0;1;1;1.0;0.0
ShareX.HelpersLib.PrintForm.LoadSettings();11.0;2.0;0;2.0;1.0;1;8;4.0;0.0
ShareX.HelpersLib.PrintForm.btnPrint_Click(Object,EventArgs);3.0;1.0;2;0.0;0.0;1;1;2.0;0.0
ShareX.HelpersLib.PrintForm.btnShowPreview_Click(Object,EventArgs);1.0;1.0;2;0.0;0.0;1;1;1.0;0.0
ShareX.HelpersLib.PrintForm.btnCancel_Click(Object,EventArgs);2.0;1.0;2;0.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.PrintForm.nudMargin_ValueChanged(Object,EventArgs);1.0;1.0;2;0.0;0.0;1;1;1.0;0.0
ShareX.HelpersLib.PrintForm.cbAutoRotate_CheckedChanged(Object,EventArgs);1.0;1.0;2;0.0;0.0;1;1;1.0;0.0
ShareX.HelpersLib.PrintForm.cbAutoScale_CheckedChanged(Object,EventArgs);3.0;1.0;2;0.0;0.0;1;2;1.0;0.0
ShareX.HelpersLib.PrintForm.cbAllowEnlarge_CheckedChanged(Object,EventArgs);1.0;1.0;2;0.0;0.0;1;1;1.0;0.0
ShareX.HelpersLib.PrintForm.cbCenterImage_CheckedChanged(Object,EventArgs);1.0;1.0;2;0.0;0.0;1;1;1.0;0.0
ShareX.HelpersLib.PrintForm.InitializeComponent();68.0;1.0;0;1.0;0.0;1;9;5.0;0.0
ShareX.HelpersLib.PrintHelper.PrintHelper(Image);4.0;1.0;1;0.0;0.0;2;3;1.0;0.0
ShareX.HelpersLib.PrintHelper.PrintHelper(String);6.0;1.0;1;0.0;0.0;1;6;1.0;0.0
ShareX.HelpersLib.PrintHelper.InitPrint();8.0;1.0;0;0.0;0.0;2;2;1.0;0.0
ShareX.HelpersLib.PrintHelper.Dispose();6.0;4.0;0;3.0;1.0;2;0;1.0;0.0
ShareX.HelpersLib.PrintHelper.ShowPreview();2.0;2.0;0;1.0;1.0;2;1;1.0;0.0
ShareX.HelpersLib.PrintHelper.Print();6.0;5.0;0;3.0;2.0;3;7;2.0;0.0
ShareX.HelpersLib.PrintHelper.printDocument_BeginPrint(Object,PrintEventArgs);2.0;2.0;2;1.0;1.0;1;2;1.0;0.0
ShareX.HelpersLib.PrintHelper.printDocument_PrintPage(Object,PrintPageEventArgs);5.0;3.0;2;2.0;1.0;1;7;1.0;0.0
ShareX.HelpersLib.PrintHelper.PrintImage(PrintPageEventArgs);9.0;7.0;1;4.0;3.0;1;8;1.0;0.0
ShareX.HelpersLib.PrintHelper.DrawAutoScaledImage(Graphics,Image,Rectangle,Boolean,Boolean);16.0;6.0;5;9.0;2.0;1;1;1.0;0.0
ShareX.HelpersLib.PrintSettings.PrintSettings();8.0;1.0;0;0.0;0.0;1;8;2.0;3.0
ShareX.HelpersLib.PrintTextForm.PrintTextForm(String,PrintSettings);7.0;1.0;2;1.0;0.0;0;5;2.0;0.0
ShareX.HelpersLib.PrintTextForm.Dispose(Boolean);6.0;4.0;1;3.0;2.0;0;1;1.0;0.0
ShareX.HelpersLib.PrintTextForm.LoadSettings();2.0;1.0;0;1.0;0.0;2;3;2.0;0.0
ShareX.HelpersLib.PrintTextForm.btnPrint_Click(Object,EventArgs);3.0;1.0;2;0.0;0.0;1;1;2.0;0.0
ShareX.HelpersLib.PrintTextForm.btnShowPreview_Click(Object,EventArgs);1.0;1.0;2;0.0;0.0;1;1;1.0;0.0
ShareX.HelpersLib.PrintTextForm.btnCancel_Click(Object,EventArgs);2.0;1.0;2;0.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.PrintTextForm.btnChangeFont_Click(Object,EventArgs);5.0;2.0;2;2.0;2.0;1;5;1.0;0.0
ShareX.HelpersLib.PrintTextForm.InitializeComponent();38.0;1.0;0;1.0;0.0;1;4;3.0;0.0
ShareX.HelpersLib.PrintTextHelper.BeginPrint();2.0;1.0;0;0.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.PrintTextHelper.PrintPage(PrintPageEventArgs);58.0;17.0;1;28.0;3.0;1;1;3.0;0.0
ShareX.HelpersLib.PrintTextHelper.NextCharIsNewLine();11.0;4.0;0;8.0;2.0;1;0;1.0;0.0
ShareX.HelpersLib.PrintTextHelper.NextChar();6.0;3.0;0;4.0;1.0;1;1;1.0;0.0
ShareX.HelpersLib.PrintTextHelper.PrintTextHelper();1.0;1.0;0;0.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.RegistryHelpers.CreateRegistry(String,String);1.0;1.0;2;0.0;0.0;4;1;2.0;0.0
ShareX.HelpersLib.RegistryHelpers.CreateRegistry(String,String,String);3.0;2.0;3;2.0;2.0;2;0;3.0;1.0
ShareX.HelpersLib.RegistryHelpers.CreateRegistry(String,Int32);1.0;1.0;2;0.0;0.0;0;1;2.0;0.0
ShareX.HelpersLib.RegistryHelpers.CreateRegistry(String,String,Int32);3.0;2.0;3;2.0;2.0;2;0;3.0;0.0
ShareX.HelpersLib.RegistryHelpers.RemoveRegistry(String,Boolean);5.0;3.0;2;3.0;2.0;4;0;2.0;1.0
ShareX.HelpersLib.RegistryHelpers.CheckRegistry(String,String,String);4.0;3.0;3;3.0;2.0;4;1;3.0;0.0
ShareX.HelpersLib.RegistryHelpers.GetRegistryValue(String,String);4.0;2.0;2;3.0;3.0;1;0;3.0;10.0
ShareX.HelpersLib.RegistryHelpers.FindProgram(String,String);24.0;11.0;2;18.0;5.0;1;3;1.0;15.0
ShareX.HelpersLib.ApplicationInstanceManager.ApplicationInstanceManager(Boolean,String[],EventHandler<InstanceCallbackEventArgs>);10.0;4.0;3;1.0;1.0;1;7;5.0;2.0
ShareX.HelpersLib.ApplicationInstanceManager.Dispose();7.0;5.0;0;4.0;2.0;0;1;2.0;1.0
ShareX.HelpersLib.ApplicationInstanceManager.CreateFirstInstance(EventHandler<InstanceCallbackEventArgs>);8.0;3.0;1;4.0;3.0;1;3;3.0;2.0
ShareX.HelpersLib.ApplicationInstanceManager.CreateMultipleInstance(String[]);10.0;3.0;1;3.0;2.0;1;3;3.0;0.0
ShareX.HelpersLib.ApplicationInstanceManager.UpdateRemoteObject(String);6.0;2.0;1;3.0;1.0;1;2;4.0;0.0
ShareX.HelpersLib.ApplicationInstanceManager.RegisterRemoteType(String);3.0;1.0;1;0.0;0.0;1;0;5.0;2.0
ShareX.HelpersLib.ApplicationInstanceManager.WaitOrTimerCallback(Object,Boolean);5.0;3.0;2;3.0;3.0;1;2;5.0;0.0
ShareX.HelpersLib.ApplicationInstanceManager.ApplicationInstanceManager();4.0;1.0;0;0.0;0.0;0;0;1.0;2.0
ShareX.HelpersLib.InstanceProxy.SetCommandLineArgs(String[]);1.0;1.0;1;0.0;0.0;1;1;1.0;0.0
ShareX.HelpersLib.InstanceCallbackEventArgs.InstanceCallbackEventArgs(String[]);2.0;1.0;1;0.0;0.0;1;1;1.0;0.0
ShareX.HelpersLib.DebugHelper.Init(String);1.0;1.0;1;0.0;0.0;1;2;2.0;0.0
ShareX.HelpersLib.DebugHelper.WriteLine(String);3.0;2.0;1;1.0;1.0;50;2;1.0;491.0
ShareX.HelpersLib.DebugHelper.WriteLine(String,Object[]);1.0;1.0;2;0.0;0.0;8;1;1.0;0.0
ShareX.HelpersLib.DebugHelper.WriteException(String,String);3.0;2.0;2;1.0;1.0;2;2;1.0;1.0
ShareX.HelpersLib.DebugHelper.WriteException(Exception,String);1.0;1.0;2;0.0;0.0;93;1;1.0;1.0
ShareX.HelpersLib.UpdateCheckerLabel.UpdateCheckerLabel();3.0;1.0;0;0.0;0.0;1;1;1.0;2.0
ShareX.HelpersLib.UpdateCheckerLabel.CheckUpdate(UpdateChecker);10.0;2.0;1;2.0;1.0;1;3;5.0;2.0
ShareX.HelpersLib.UpdateCheckerLabel.CheckingUpdate();4.0;2.0;0;0.0;1.0;1;3;4.0;2.0
ShareX.HelpersLib.UpdateCheckerLabel.UpdateControls();13.0;5.0;0;0.0;1.0;1;5;6.0;2.0
ShareX.HelpersLib.UpdateCheckerLabel.llblUpdateAvailable_LinkClicked(Object,LinkLabelLinkClickedEventArgs);2.0;3.0;2;1.0;1.0;1;2;8.0;0.0
ShareX.HelpersLib.UpdateCheckerLabel.Dispose(Boolean);3.0;3.0;1;1.0;1.0;0;0;1.0;2.0
ShareX.HelpersLib.UpdateCheckerLabel.InitializeComponent();30.0;1.0;0;1.0;0.0;1;1;2.0;2.0
ShareX.HelpersLib.SplitContainerCustomSplitter.OnPaint(PaintEventArgs);9.0;3.0;1;5.0;2.0;0;1;6.0;33.0
ShareX.HelpersLib.SplitContainerCustomSplitter.SplitContainerCustomSplitter();1.0;1.0;0;0.0;0.0;2;0;1.0;4.0
ShareX.HelpersLib.ToolStripRadioButtonMenuItem.ToolStripRadioButtonMenuItem();2.0;1.0;0;0.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.ToolStripRadioButtonMenuItem.ToolStripRadioButtonMenuItem(String);2.0;1.0;1;0.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.ToolStripRadioButtonMenuItem.ToolStripRadioButtonMenuItem(Image);2.0;1.0;1;0.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.ToolStripRadioButtonMenuItem.ToolStripRadioButtonMenuItem(String,Image);2.0;1.0;2;0.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.ToolStripRadioButtonMenuItem.ToolStripRadioButtonMenuItem(String,Image,EventHandler);2.0;1.0;3;0.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.ToolStripRadioButtonMenuItem.ToolStripRadioButtonMenuItem(String,Image,EventHandler,String);2.0;1.0;4;0.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.ToolStripRadioButtonMenuItem.ToolStripRadioButtonMenuItem(String,Image,ToolStripItem[]);2.0;1.0;3;0.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.ToolStripRadioButtonMenuItem.ToolStripRadioButtonMenuItem(String,Image,EventHandler,Keys);3.0;1.0;4;0.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.ToolStripRadioButtonMenuItem.Initialize();1.0;1.0;0;0.0;0.0;8;0;1.0;0.0
ShareX.HelpersLib.ToolStripRadioButtonMenuItem.OnCheckedChanged(EventArgs);10.0;7.0;1;6.0;4.0;0;0;1.0;0.0
ShareX.HelpersLib.ToolStripRadioButtonMenuItem.OnClick(EventArgs);3.0;2.0;1;1.0;1.0;0;0;1.0;0.0
ShareX.HelpersLib.ToolStripRadioButtonMenuItem.OnPaint(PaintEventArgs);27.0;11.0;1;18.0;3.0;0;0;1.0;0.0
ShareX.HelpersLib.ToolStripRadioButtonMenuItem.OnMouseEnter(EventArgs);3.0;1.0;1;0.0;0.0;0;0;1.0;0.0
ShareX.HelpersLib.ToolStripRadioButtonMenuItem.OnMouseLeave(EventArgs);2.0;1.0;1;0.0;0.0;0;0;1.0;0.0
ShareX.HelpersLib.ToolStripRadioButtonMenuItem.OnMouseDown(MouseEventArgs);3.0;1.0;1;0.0;0.0;0;0;1.0;0.0
ShareX.HelpersLib.ToolStripRadioButtonMenuItem.OnMouseUp(MouseEventArgs);2.0;1.0;1;0.0;0.0;0;0;1.0;0.0
ShareX.HelpersLib.ToolStripRadioButtonMenuItem.OnOwnerChanged(EventArgs);4.0;3.0;1;2.0;1.0;0;1;1.0;0.0
ShareX.HelpersLib.ToolStripRadioButtonMenuItem.OwnerMenuItem_CheckedChanged(Object,EventArgs);1.0;1.0;2;0.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.ImageViewer.ImageViewer(Image);5.0;1.0;1;0.0;0.0;2;2;2.0;3.0
ShareX.HelpersLib.ImageViewer.ShowImage(Image);4.0;2.0;1;3.0;3.0;1;1;1.0;3.0
ShareX.HelpersLib.ImageViewer.ShowImage(String);4.0;3.0;1;3.0;3.0;2;2;2.0;0.0
ShareX.HelpersLib.ImageViewer.ShowScreenshot_Shown(Object,EventArgs);1.0;1.0;2;0.0;0.0;1;1;2.0;3.0
ShareX.HelpersLib.ImageViewer.ShowScreenshot_Deactivate(Object,EventArgs);1.0;1.0;2;0.0;0.0;1;0;1.0;4.0
ShareX.HelpersLib.ImageViewer.pbPreview_MouseDown(Object,MouseEventArgs);1.0;1.0;2;0.0;0.0;1;0;1.0;2.0
ShareX.HelpersLib.ImageViewer.pbPreview_KeyDown(Object,KeyEventArgs);2.0;4.0;2;1.0;2.0;1;0;1.0;0.0
ShareX.HelpersLib.ImageViewer.Dispose(Boolean);5.0;4.0;1;2.0;1.0;0;0;2.0;3.0
