Method_Parsed;Previous_Method_Parsed;ChgLines
ShareX.HelpersLib.TrayForm.Dispose(Boolean);ShareX.HelpersLib.TrayForm.Dispose(Boolean);0
ShareX.HelpersLib.AnimatedGifCreator.AddFrame(Image,GIFQuality);ShareX.HelpersLib.AnimatedGifCreator.AddFrame(Image,GIFQuality);0
ShareX.HelpersLib.AnimatedGifCreator.AddFrame(String,GIFQuality);ShareX.HelpersLib.AnimatedGifCreator.AddFrame(String,GIFQuality);2
ShareX.HelpersLib.AnimatedGifCreator.CreateGraphicsControlExtensionBlock(Int32);ShareX.HelpersLib.AnimatedGifCreator.CreateGraphicsControlExtensionBlock(Int32);1
ShareX.HelpersLib.AnimatedGifCreator.CreateHeaderBlock();ShareX.HelpersLib.AnimatedGifCreator.CreateHeaderBlock();0
ShareX.HelpersLib.AnimatedGifCreator.CreateApplicationExtensionBlock(Int32);ShareX.HelpersLib.AnimatedGifCreator.CreateApplicationExtensionBlock(Int32);0
ShareX.HelpersLib.AnimatedGifCreator.Finish();ShareX.HelpersLib.AnimatedGifCreator.Finish();0
ShareX.HelpersLib.AnimatedGifCreator.AnimatedGifCreator(String,Int32,Int32);ShareX.HelpersLib.AnimatedGifCreator.AnimatedGifCreator(String,Int32,Int32);0
ShareX.HelpersLib.AnimatedGifCreator.Dispose();ShareX.HelpersLib.AnimatedGifCreator.Dispose();0
ShareX.HelpersLib.GifClass.LoadGifPicture(Image,GIFQuality);ShareX.HelpersLib.GifClass.LoadGifPicture(Image,GIFQuality);0
ShareX.HelpersLib.GifClass.AnalyzeGifSignature(List<Byte>);ShareX.HelpersLib.GifClass.AnalyzeGifSignature(List<Byte>);0
ShareX.HelpersLib.GifClass.ByteToChar(Byte);ShareX.HelpersLib.GifClass.ByteToChar(Byte);0
ShareX.HelpersLib.GifClass.AnalyzeScreenDescriptor(List<Byte>);ShareX.HelpersLib.GifClass.AnalyzeScreenDescriptor(List<Byte>);0
ShareX.HelpersLib.GifClass.GetTypeOfNextBlock(List<Byte>);ShareX.HelpersLib.GifClass.GetTypeOfNextBlock(List<Byte>);0
ShareX.HelpersLib.GifClass.AnalyzeImageDescriptor(List<Byte>);ShareX.HelpersLib.GifClass.AnalyzeImageDescriptor(List<Byte>);0
ShareX.HelpersLib.GifClass.GetImageData(List<Byte>);ShareX.HelpersLib.GifClass.GetImageData(List<Byte>);0
ShareX.HelpersLib.GifClass.ThrowAwayExtensionBlock(List<Byte>);ShareX.HelpersLib.GifClass.ThrowAwayExtensionBlock(List<Byte>);0
ShareX.HelpersLib.GrayscaleQuantizer.GrayscaleQuantizer();ShareX.HelpersLib.GrayscaleQuantizer.GrayscaleQuantizer();0
ShareX.HelpersLib.GrayscaleQuantizer.QuantizePixel(Color32);ShareX.HelpersLib.GrayscaleQuantizer.QuantizePixel(Color32);0
ShareX.HelpersLib.OctreeQuantizer.OctreeQuantizer(Int32,Int32);ShareX.HelpersLib.OctreeQuantizer.OctreeQuantizer(Int32,Int32);0
ShareX.HelpersLib.OctreeQuantizer.InitialQuantizePixel(Color32);ShareX.HelpersLib.OctreeQuantizer.InitialQuantizePixel(Color32);0
ShareX.HelpersLib.OctreeQuantizer.QuantizePixel(Color32);ShareX.HelpersLib.OctreeQuantizer.QuantizePixel(Color32);0
ShareX.HelpersLib.OctreeQuantizer.GetPalette(ColorPalette);ShareX.HelpersLib.OctreeQuantizer.GetPalette(ColorPalette);0
ShareX.HelpersLib.OctreeQuantizer.Octree.Octree(Int32);ShareX.HelpersLib.OctreeQuantizer.Octree.Octree(Int32);0
ShareX.HelpersLib.OctreeQuantizer.Octree.AddColor(Color32);ShareX.HelpersLib.OctreeQuantizer.Octree.AddColor(Color32);1
ShareX.HelpersLib.OctreeQuantizer.Octree.Reduce();ShareX.HelpersLib.OctreeQuantizer.Octree.Reduce();3
ShareX.HelpersLib.OctreeQuantizer.Octree.TrackPrevious(OctreeNode);ShareX.HelpersLib.OctreeQuantizer.Octree.TrackPrevious(OctreeNode);0
ShareX.HelpersLib.OctreeQuantizer.Octree.Palletize(Int32);ShareX.HelpersLib.OctreeQuantizer.Octree.Palletize(Int32);0
ShareX.HelpersLib.OctreeQuantizer.Octree.GetPaletteIndex(Color32);ShareX.HelpersLib.OctreeQuantizer.Octree.GetPaletteIndex(Color32);0
ShareX.HelpersLib.OctreeQuantizer.Octree.OctreeNode.OctreeNode(Int32,Int32,Octree);ShareX.HelpersLib.OctreeQuantizer.Octree.OctreeNode.OctreeNode(Int32,Int32,Octree);0
ShareX.HelpersLib.OctreeQuantizer.Octree.OctreeNode.AddColor(Color32,Int32,Int32,Octree);ShareX.HelpersLib.OctreeQuantizer.Octree.OctreeNode.AddColor(Color32,Int32,Int32,Octree);1
ShareX.HelpersLib.OctreeQuantizer.Octree.OctreeNode.Reduce();ShareX.HelpersLib.OctreeQuantizer.Octree.OctreeNode.Reduce();2
ShareX.HelpersLib.OctreeQuantizer.Octree.OctreeNode.ConstructPalette(ArrayList,Int32);ShareX.HelpersLib.OctreeQuantizer.Octree.OctreeNode.ConstructPalette(ArrayList,Int32);1
ShareX.HelpersLib.OctreeQuantizer.Octree.OctreeNode.GetPaletteIndex(Color32,Int32);ShareX.HelpersLib.OctreeQuantizer.Octree.OctreeNode.GetPaletteIndex(Color32,Int32);7
ShareX.HelpersLib.OctreeQuantizer.Octree.OctreeNode.Increment(Color32);ShareX.HelpersLib.OctreeQuantizer.Octree.OctreeNode.Increment(Color32);0
ShareX.HelpersLib.PaletteQuantizer.PaletteQuantizer(ArrayList);ShareX.HelpersLib.PaletteQuantizer.PaletteQuantizer(ArrayList);0
ShareX.HelpersLib.PaletteQuantizer.QuantizePixel(Color32);ShareX.HelpersLib.PaletteQuantizer.QuantizePixel(Color32);4
ShareX.HelpersLib.PaletteQuantizer.GetPalette(ColorPalette);ShareX.HelpersLib.PaletteQuantizer.GetPalette(ColorPalette);2
ShareX.HelpersLib.Quantizer.Quantizer(Boolean);ShareX.HelpersLib.Quantizer.Quantizer(Boolean);0
ShareX.HelpersLib.Quantizer.Quantize(Image);ShareX.HelpersLib.Quantizer.Quantize(Image);0
ShareX.HelpersLib.Quantizer.FirstPass(BitmapData,Int32,Int32);ShareX.HelpersLib.Quantizer.FirstPass(BitmapData,Int32,Int32);0
ShareX.HelpersLib.Quantizer.SecondPass(BitmapData,Bitmap,Int32,Int32,Rectangle);ShareX.HelpersLib.Quantizer.SecondPass(BitmapData,Bitmap,Int32,Int32,Rectangle);0
ShareX.HelpersLib.Quantizer.InitialQuantizePixel(Color32);ShareX.HelpersLib.Quantizer.InitialQuantizePixel(Color32);0
ShareX.HelpersLib.Quantizer.Color32.Color32(IntPtr);ShareX.HelpersLib.Quantizer.Color32.Color32(IntPtr);0
ShareX.HelpersLib.CaptureHelpers.GetScreenBounds();ShareX.HelpersLib.CaptureHelpers.GetScreenBounds();0
ShareX.HelpersLib.CaptureHelpers.GetScreenBounds2();ShareX.HelpersLib.CaptureHelpers.GetScreenBounds2();0
ShareX.HelpersLib.CaptureHelpers.GetScreenBounds3();ShareX.HelpersLib.CaptureHelpers.GetScreenBounds3();0
ShareX.HelpersLib.CaptureHelpers.GetScreenBounds4();ShareX.HelpersLib.CaptureHelpers.GetScreenBounds4();0
ShareX.HelpersLib.CaptureHelpers.GetActiveScreenBounds();ShareX.HelpersLib.CaptureHelpers.GetActiveScreenBounds();0
ShareX.HelpersLib.CaptureHelpers.GetScreenBounds0Based();ShareX.HelpersLib.CaptureHelpers.GetScreenBounds0Based();0
ShareX.HelpersLib.CaptureHelpers.ScreenToClient(Point);ShareX.HelpersLib.CaptureHelpers.ScreenToClient(Point);0
ShareX.HelpersLib.CaptureHelpers.ScreenToClient(Rectangle);ShareX.HelpersLib.CaptureHelpers.ScreenToClient(Rectangle);0
ShareX.HelpersLib.CaptureHelpers.ClientToScreen(Point);ShareX.HelpersLib.CaptureHelpers.ClientToScreen(Point);0
ShareX.HelpersLib.CaptureHelpers.ClientToScreen(Rectangle);ShareX.HelpersLib.CaptureHelpers.ClientToScreen(Rectangle);0
ShareX.HelpersLib.CaptureHelpers.GetCursorPosition();ShareX.HelpersLib.CaptureHelpers.GetCursorPosition();0
ShareX.HelpersLib.CaptureHelpers.GetZeroBasedMousePosition();ShareX.HelpersLib.CaptureHelpers.GetZeroBasedMousePosition();0
ShareX.HelpersLib.CaptureHelpers.SetCursorPosition(Int32,Int32);ShareX.HelpersLib.CaptureHelpers.SetCursorPosition(Int32,Int32);0
ShareX.HelpersLib.CaptureHelpers.SetCursorPosition(Point);ShareX.HelpersLib.CaptureHelpers.SetCursorPosition(Point);0
ShareX.HelpersLib.CaptureHelpers.GetPixelColor();ShareX.HelpersLib.CaptureHelpers.GetPixelColor();0
ShareX.HelpersLib.CaptureHelpers.GetPixelColor(Int32,Int32);ShareX.HelpersLib.CaptureHelpers.GetPixelColor(Int32,Int32);0
ShareX.HelpersLib.CaptureHelpers.GetPixelColor(Point);ShareX.HelpersLib.CaptureHelpers.GetPixelColor(Point);0
ShareX.HelpersLib.CaptureHelpers.CheckPixelColor(Int32,Int32,Color);ShareX.HelpersLib.CaptureHelpers.CheckPixelColor(Int32,Int32,Color);0
ShareX.HelpersLib.CaptureHelpers.CheckPixelColor(Int32,Int32,Color,Byte);ShareX.HelpersLib.CaptureHelpers.CheckPixelColor(Int32,Int32,Color,Byte);3
ShareX.HelpersLib.CaptureHelpers.CreateRectangle(Int32,Int32,Int32,Int32);ShareX.HelpersLib.CaptureHelpers.CreateRectangle(Int32,Int32,Int32,Int32);0
ShareX.HelpersLib.CaptureHelpers.CreateRectangle(Point,Point);ShareX.HelpersLib.CaptureHelpers.CreateRectangle(Point,Point);0
ShareX.HelpersLib.CaptureHelpers.ProportionalPosition(Point,Point);ShareX.HelpersLib.CaptureHelpers.ProportionalPosition(Point,Point);0
ShareX.HelpersLib.CaptureHelpers.GetWindowRectangle(IntPtr);ShareX.HelpersLib.CaptureHelpers.GetWindowRectangle(IntPtr);0
ShareX.HelpersLib.CaptureHelpers.EvenRectangleSize(Rectangle);ShareX.HelpersLib.CaptureHelpers.EvenRectangleSize(Rectangle);0
ShareX.HelpersLib.CaptureHelpers.GetScreenWorkingArea();ShareX.HelpersLib.CaptureHelpers.GetScreenWorkingArea();0
ShareX.HelpersLib.CaptureHelpers.GetPrimaryScreenBounds();ShareX.HelpersLib.CaptureHelpers.GetPrimaryScreenBounds();0
ShareX.HelpersLib.CaptureHelpers.GetPrimaryScreenBounds0Based();ShareX.HelpersLib.CaptureHelpers.GetPrimaryScreenBounds0Based();0
ShareX.HelpersLib.CaptureHelpers.GetActiveScreenBounds0Based();ShareX.HelpersLib.CaptureHelpers.GetActiveScreenBounds0Based();0
ShareX.HelpersLib.CaptureHelpers.GetActiveWindowClientRectangle();ShareX.HelpersLib.CaptureHelpers.GetActiveWindowClientRectangle();0
ShareX.HelpersLib.CaptureHelpers.GetActiveWindowRectangle();ShareX.HelpersLib.CaptureHelpers.GetActiveWindowRectangle();0
ShareX.HelpersLib.CaptureHelpers.CalculateNewRectangle(Point,Point,Size);ShareX.HelpersLib.CaptureHelpers.CalculateNewRectangle(Point,Point,Size);0
ShareX.HelpersLib.CaptureHelpers.CalculateNewPosition(Point,Point,Size);ShareX.HelpersLib.CaptureHelpers.CalculateNewPosition(Point,Point,Size);0
ShareX.HelpersLib.CaptureHelpers.SnapPositionToDegree(Point,Point,Single,Single);ShareX.HelpersLib.CaptureHelpers.SnapPositionToDegree(Point,Point,Single,Single);1
ShareX.HelpersLib.CaptureHelpers.GetActiveScreenWorkingArea();ShareX.HelpersLib.CaptureHelpers.GetActiveScreenWorkingArea();0
ShareX.HelpersLib.CaptureHelpers.IsActiveWindowFullscreen();;8
ShareX.HelpersLib.ClipboardHelpers.CopyData(IDataObject,Boolean);ShareX.HelpersLib.ClipboardHelpers.CopyData(IDataObject,Boolean);0
ShareX.HelpersLib.ClipboardHelpers.Clear();ShareX.HelpersLib.ClipboardHelpers.Clear();0
ShareX.HelpersLib.ClipboardHelpers.CopyText(String);ShareX.HelpersLib.ClipboardHelpers.CopyText(String);0
ShareX.HelpersLib.ClipboardHelpers.CopyImage(Image,String);ShareX.HelpersLib.ClipboardHelpers.CopyImage(Image);7
ShareX.HelpersLib.ClipboardHelpers.CopyImageDefault(Image);ShareX.HelpersLib.ClipboardHelpers.CopyImageDefault(Image);0
ShareX.HelpersLib.ClipboardHelpers.CopyImageAlternative(Image);ShareX.HelpersLib.ClipboardHelpers.CopyImageAlternative(Image);1
ShareX.HelpersLib.ClipboardHelpers.CopyFile(String);ShareX.HelpersLib.ClipboardHelpers.CopyFile(String);0
ShareX.HelpersLib.ClipboardHelpers.CopyFile(String[]);ShareX.HelpersLib.ClipboardHelpers.CopyFile(String[]);0
ShareX.HelpersLib.ClipboardHelpers.CopyTextFromFile(String);ShareX.HelpersLib.ClipboardHelpers.CopyTextFromFile(String);1
ShareX.HelpersLib.ClipboardHelpers.CopyImageFromFile(String);ShareX.HelpersLib.ClipboardHelpers.CopyImageFromFile(String);8
ShareX.HelpersLib.ClipboardHelpers.CopyImageDefaultFillBackground(Image,Color);ShareX.HelpersLib.ClipboardHelpers.CopyImageDefaultFillBackground(Image,Color);0
ShareX.HelpersLib.ClipboardHelpers.GetImageAlternative();ShareX.HelpersLib.ClipboardHelpers.GetImageAlternative();3
ShareX.HelpersLib.ClipboardHelpers.GetImage(Boolean);ShareX.HelpersLib.ClipboardHelpers.GetImage();9
ShareX.HelpersLib.ClipboardHelpers.GetDIBImage(MemoryStream);ShareX.HelpersLib.ClipboardHelpers.GetDIBImage(MemoryStream);1
ShareX.HelpersLib.ClipboardHelpers.GetText(Boolean);;0
ShareX.HelpersLib.ClipboardHelpers.GetFileDropList(Boolean);;0
ShareX.HelpersLib.ClipboardHelpers.CopyImageAlternative2(Image,String);;12
ShareX.HelpersLib.ClipboardHelpers.GenerateHTMLFragment(String);;0
ShareX.HelpersLib.ClipboardHelpers.ContainsImage();;0
ShareX.HelpersLib.ClipboardHelpers.ContainsFileDropList();;0
ShareX.HelpersLib.ClipboardHelpers.ContainsText();;0
ShareX.HelpersLib.ColorHelpers.ValidColor(Double);ShareX.HelpersLib.ColorHelpers.ValidColor(Double);1
ShareX.HelpersLib.ColorHelpers.ValidColor(Int32);ShareX.HelpersLib.ColorHelpers.ValidColor(Int32);1
ShareX.HelpersLib.ColorHelpers.ValidColor(Byte);ShareX.HelpersLib.ColorHelpers.ValidColor(Byte);2
ShareX.HelpersLib.ColorHelpers.ColorToHex(Color,ColorFormat);ShareX.HelpersLib.ColorHelpers.ColorToHex(Color,ColorFormat);0
ShareX.HelpersLib.ColorHelpers.ColorToDecimal(Color,ColorFormat);ShareX.HelpersLib.ColorHelpers.ColorToDecimal(Color,ColorFormat);0
ShareX.HelpersLib.ColorHelpers.ColorToHSB(Color);ShareX.HelpersLib.ColorHelpers.ColorToHSB(Color);3
ShareX.HelpersLib.ColorHelpers.ColorToCMYK(Color);ShareX.HelpersLib.ColorHelpers.ColorToCMYK(Color);0
ShareX.HelpersLib.ColorHelpers.HexToColor(String,ColorFormat);ShareX.HelpersLib.ColorHelpers.HexToColor(String,ColorFormat);0
ShareX.HelpersLib.ColorHelpers.HexToDecimal(String);ShareX.HelpersLib.ColorHelpers.HexToDecimal(String);0
ShareX.HelpersLib.ColorHelpers.DecimalToColor(Int32,ColorFormat);ShareX.HelpersLib.ColorHelpers.DecimalToColor(Int32,ColorFormat);0
ShareX.HelpersLib.ColorHelpers.DecimalToHex(Int32);ShareX.HelpersLib.ColorHelpers.DecimalToHex(Int32);0
ShareX.HelpersLib.ColorHelpers.HSBToColor(HSB);ShareX.HelpersLib.ColorHelpers.HSBToColor(HSB);6
ShareX.HelpersLib.ColorHelpers.CMYKToColor(CMYK);ShareX.HelpersLib.ColorHelpers.CMYKToColor(CMYK);3
ShareX.HelpersLib.ColorHelpers.RandomColor();ShareX.HelpersLib.ColorHelpers.RandomColor();1
ShareX.HelpersLib.ColorHelpers.VisibleColor(Color,Color,Color);ShareX.HelpersLib.ColorHelpers.VisibleColor(Color,Color,Color);4
ShareX.HelpersLib.ColorHelpers.PerceivedBrightness(Color);ShareX.HelpersLib.ColorHelpers.PerceivedBrightness(Color);1
ShareX.HelpersLib.ColorHelpers.Lerp(Color,Color,Single);ShareX.HelpersLib.ColorHelpers.Lerp(Color,Color,Single);0
ShareX.HelpersLib.ColorHelpers.VisibleColor(Color);ShareX.HelpersLib.ColorHelpers.VisibleColor(Color);0
ShareX.HelpersLib.ColorHelpers.ParseColor(String,Color);ShareX.HelpersLib.ColorHelpers.ParseColor(String,Color);0
ShareX.HelpersLib.ColorHelpers.ColorDifference(Color,Color);ShareX.HelpersLib.ColorHelpers.ColorDifference(Color,Color);0
ShareX.HelpersLib.ColorHelpers.ColorsAreClose(Color,Color,Int32);ShareX.HelpersLib.ColorHelpers.ColorsAreClose(Color,Color,Int32);0
ShareX.HelpersLib.ColorHelpers.DeterministicStringToColor(String);ShareX.HelpersLib.ColorHelpers.DeterministicStringToColor(String);0
ShareX.HelpersLib.ColorHelpers.LighterColor(Color,Single);;0
ShareX.HelpersLib.ColorHelpers.DarkerColor(Color,Single);;0
ShareX.HelpersLib.ColorHelpers.IsLightColor(Color);;0
ShareX.HelpersLib.ColorHelpers.GetKnownColors();;0
ShareX.HelpersLib.ColorHelpers.FindClosestKnownColor(Color);;0
ShareX.HelpersLib.ColorHelpers.IsDarkColor(Color);;0
ShareX.HelpersLib.ColorHelpers.GetColorName(Color);;0
ShareX.HelpersLib.Helpers.IsImageFile(String);ShareX.HelpersLib.Helpers.IsImageFile(String);0
ShareX.HelpersLib.Helpers.IsTextFile(String);ShareX.HelpersLib.Helpers.IsTextFile(String);0
ShareX.HelpersLib.Helpers.FindDataType(String);ShareX.HelpersLib.Helpers.FindDataType(String);0
ShareX.HelpersLib.Helpers.AddZeroes(Int32,Int32);ShareX.HelpersLib.Helpers.AddZeroes(Int32,Int32);0
ShareX.HelpersLib.Helpers.HourTo12(Int32);ShareX.HelpersLib.Helpers.HourTo12(Int32);0
ShareX.HelpersLib.Helpers.GetRandomChar(String);ShareX.HelpersLib.Helpers.GetRandomChar(String);2
ShareX.HelpersLib.Helpers.GetRandomString(String,Int32);ShareX.HelpersLib.Helpers.GetRandomString(String,Int32);0
ShareX.HelpersLib.Helpers.GetRandomNumber(Int32);ShareX.HelpersLib.Helpers.GetRandomNumber(Int32);0
ShareX.HelpersLib.Helpers.GetRandomAlphanumeric(Int32);ShareX.HelpersLib.Helpers.GetRandomAlphanumeric(Int32);0
ShareX.HelpersLib.Helpers.GetRandomKey(Int32,Int32,Char);ShareX.HelpersLib.Helpers.GetRandomKey(Int32,Int32,Char);1
ShareX.HelpersLib.Helpers.GetAllCharacters();ShareX.HelpersLib.Helpers.GetAllCharacters();0
ShareX.HelpersLib.Helpers.GetValidFolderPath(String);ShareX.HelpersLib.Helpers.GetValidFolderPath(String);0
ShareX.HelpersLib.Helpers.GetValidFilePath(String);ShareX.HelpersLib.Helpers.GetValidFilePath(String);0
ShareX.HelpersLib.Helpers.GetValidURL(String,Boolean);ShareX.HelpersLib.Helpers.GetValidURL(String,Boolean);0
ShareX.HelpersLib.Helpers.GetXMLValue(String,String);ShareX.HelpersLib.Helpers.GetXMLValue(String,String);0
ShareX.HelpersLib.Helpers.GetEnumDescriptions<T>(Int32);ShareX.HelpersLib.Helpers.GetEnumDescriptions<T>();1
ShareX.HelpersLib.Helpers.GetEnumLength<T>();ShareX.HelpersLib.Helpers.GetEnumLength<T>();0
ShareX.HelpersLib.Helpers.OpenFolder(String);ShareX.HelpersLib.Helpers.OpenFolder(String);237
ShareX.HelpersLib.Helpers.OpenFolderWithFile(String);ShareX.HelpersLib.Helpers.OpenFolderWithFile(String);0
ShareX.HelpersLib.Helpers.CompareVersion(Version,Version);ShareX.HelpersLib.Helpers.CompareVersion(Version,Version);0
ShareX.HelpersLib.Helpers.IsWindowsXP();ShareX.HelpersLib.Helpers.IsWindowsXP();0
ShareX.HelpersLib.Helpers.IsWindowsXPOrGreater();ShareX.HelpersLib.Helpers.IsWindowsXPOrGreater();0
ShareX.HelpersLib.Helpers.IsWindowsVista();ShareX.HelpersLib.Helpers.IsWindowsVista();0
ShareX.HelpersLib.Helpers.IsWindowsVistaOrGreater();ShareX.HelpersLib.Helpers.IsWindowsVistaOrGreater();0
ShareX.HelpersLib.Helpers.IsWindows7();ShareX.HelpersLib.Helpers.IsWindows7();0
ShareX.HelpersLib.Helpers.IsWindows7OrGreater();ShareX.HelpersLib.Helpers.IsWindows7OrGreater();0
ShareX.HelpersLib.Helpers.IsWindows8();ShareX.HelpersLib.Helpers.IsWindows8();0
ShareX.HelpersLib.Helpers.IsWindows8OrGreater();ShareX.HelpersLib.Helpers.IsWindows8OrGreater();0
ShareX.HelpersLib.Helpers.ProperTimeSpan(TimeSpan);ShareX.HelpersLib.Helpers.ProperTimeSpan(TimeSpan);0
ShareX.HelpersLib.Helpers.Clone(Object);ShareX.HelpersLib.Helpers.Clone(Object);0
ShareX.HelpersLib.Helpers.PlaySoundAsync(Stream);ShareX.HelpersLib.Helpers.PlaySoundAsync(Stream);0
ShareX.HelpersLib.Helpers.BrowseFile(String,TextBox,String,Boolean);ShareX.HelpersLib.Helpers.BrowseFile(String,TextBox,String,Boolean);0
ShareX.HelpersLib.Helpers.BrowseFolder(String,TextBox,String,Boolean);ShareX.HelpersLib.Helpers.BrowseFolder(String,TextBox,String,Boolean);0
ShareX.HelpersLib.Helpers.WaitWhile(Func<Boolean>,Int32,Int32);ShareX.HelpersLib.Helpers.WaitWhile(Func<Boolean>,Int32,Int32);0
ShareX.HelpersLib.Helpers.WaitWhileAsync(Func<Boolean>,Int32,Int32,Action,Int32);ShareX.HelpersLib.Helpers.WaitWhileAsync(Func<Boolean>,Int32,Int32,Action,Int32);0
ShareX.HelpersLib.Helpers.IsFileLocked(String);ShareX.HelpersLib.Helpers.IsFileLocked(String);0
ShareX.HelpersLib.Helpers.BackupFileMonthly(String,String);ShareX.HelpersLib.Helpers.BackupFileMonthly(String,String);0
ShareX.HelpersLib.Helpers.BackupFileWeekly(String,String);ShareX.HelpersLib.Helpers.BackupFileWeekly(String,String);0
ShareX.HelpersLib.Helpers.GetUniqueID();ShareX.HelpersLib.Helpers.GetUniqueID();0
ShareX.HelpersLib.Helpers.MeasureText(String,Font);ShareX.HelpersLib.Helpers.MeasureText(String,Font);0
ShareX.HelpersLib.Helpers.GetPosition(ContentAlignment,Point,Size,Size);ShareX.HelpersLib.Helpers.GetPosition(ContentAlignment,Point,Size,Size);0
ShareX.HelpersLib.Helpers.GetEnumFromIndex<T>(Int32);ShareX.HelpersLib.Helpers.GetEnumFromIndex<T>(Int32);0
ShareX.HelpersLib.Helpers.GetProperName(String);ShareX.HelpersLib.Helpers.GetProperName(String);0
ShareX.HelpersLib.Helpers.GetEnumNamesProper<T>();ShareX.HelpersLib.Helpers.GetEnumNamesProper<T>();0
ShareX.HelpersLib.Helpers.MeasureText(String,Font,Int32);ShareX.HelpersLib.Helpers.MeasureText(String,Font,Int32);0
ShareX.HelpersLib.Helpers.GetUniqueFilePath(String);ShareX.HelpersLib.Helpers.GetUniqueFilePath(String);0
ShareX.HelpersLib.Helpers.IsValidIPAddress(String);ShareX.HelpersLib.Helpers.IsValidIPAddress(String);0
ShareX.HelpersLib.Helpers.IsDefaultInstallDir();ShareX.HelpersLib.Helpers.IsDefaultInstallDir();0
ShareX.HelpersLib.Helpers.SendPing(String,Int32);ShareX.HelpersLib.Helpers.SendPing(String,Int32);0
ShareX.HelpersLib.Helpers.SendPing(String);ShareX.HelpersLib.Helpers.SendPing(String);0
ShareX.HelpersLib.Helpers.OpenFile(String);ShareX.HelpersLib.Helpers.OpenFile(String);11
ShareX.HelpersLib.Helpers.DownloadString(String);ShareX.HelpersLib.Helpers.DownloadString(String);0
ShareX.HelpersLib.Helpers.CompareVersion(String,String);ShareX.HelpersLib.Helpers.CompareVersion(String,String);0
ShareX.HelpersLib.Helpers.CompareApplicationVersion(String);ShareX.HelpersLib.Helpers.CompareApplicationVersion(String);0
ShareX.HelpersLib.Helpers.NormalizeVersion(String);ShareX.HelpersLib.Helpers.NormalizeVersion(String);0
ShareX.HelpersLib.Helpers.GetEnums<T>();ShareX.HelpersLib.Helpers.GetEnums<T>();0
ShareX.HelpersLib.Helpers.GetValueFields<T>();ShareX.HelpersLib.Helpers.GetValueFields<T>();0
ShareX.HelpersLib.Helpers.ChangeFilenameExtension(String,String);ShareX.HelpersLib.Helpers.ChangeFilenameExtension(String,String);7
ShareX.HelpersLib.Helpers.GetLocalizedEnumDescriptions<T>(ResourceManager);ShareX.HelpersLib.Helpers.GetLocalizedEnumDescriptions<T>(ResourceManager);0
ShareX.HelpersLib.Helpers.GetLocalizedEnumDescriptions<T>();ShareX.HelpersLib.Helpers.GetLocalizedEnumDescriptions<T>();0
ShareX.HelpersLib.Helpers.SetDefaultUICulture(CultureInfo);ShareX.HelpersLib.Helpers.SetDefaultUICulture(CultureInfo);0
ShareX.HelpersLib.Helpers.GetAbsolutePath(String);ShareX.HelpersLib.Helpers.GetAbsolutePath(String);0
ShareX.HelpersLib.Helpers.IsAdministrator();ShareX.HelpersLib.Helpers.IsAdministrator();0
ShareX.HelpersLib.Helpers.IsWindows10OrGreater();ShareX.HelpersLib.Helpers.IsWindows10OrGreater();0
ShareX.HelpersLib.Helpers.GetTempPath(String);ShareX.HelpersLib.Helpers.GetTempPath(String);0
ShareX.HelpersLib.Helpers.PlaySoundAsync(String);ShareX.HelpersLib.Helpers.PlaySoundAsync(String);0
ShareX.HelpersLib.Helpers.RepeatGenerator(Int32,Func<String>);ShareX.HelpersLib.Helpers.RepeatGenerator(Int32,Func<String>);0
ShareX.HelpersLib.Helpers.DateTimeToUnix(DateTime);ShareX.HelpersLib.Helpers.DateTimeToUnix(DateTime);0
ShareX.HelpersLib.Helpers.UnixToDateTime(Int64);ShareX.HelpersLib.Helpers.UnixToDateTime(Int64);0
ShareX.HelpersLib.Helpers.CopyAll(DirectoryInfo,DirectoryInfo);ShareX.HelpersLib.Helpers.CopyAll(DirectoryInfo,DirectoryInfo);0
ShareX.HelpersLib.Helpers.IsRunning(String);ShareX.HelpersLib.Helpers.IsRunning(String);0
ShareX.HelpersLib.Helpers.ShowError(Exception);ShareX.HelpersLib.Helpers.ShowError(Exception);0
ShareX.HelpersLib.Helpers.CopyAll(String,String);ShareX.HelpersLib.Helpers.CopyAll(String,String);0
ShareX.HelpersLib.Helpers.AddZeroes(String,Int32);ShareX.HelpersLib.Helpers.AddZeroes(String,Int32);0
ShareX.HelpersLib.Helpers.AppendExtension(String,String);ShareX.HelpersLib.Helpers.AppendExtension(String,String);0
ShareX.HelpersLib.Helpers.GetVariableFolderPath(String);ShareX.HelpersLib.Helpers.GetVariableFolderPath(String);0
ShareX.HelpersLib.Helpers.ExpandFolderVariables(String);ShareX.HelpersLib.Helpers.ExpandFolderVariables(String);0
ShareX.HelpersLib.Helpers.GetValidFileName(String,String);ShareX.HelpersLib.Helpers.GetValidFileName(String,String);5
ShareX.HelpersLib.Helpers.CreateDirectoryFromDirectoryPath(String);ShareX.HelpersLib.Helpers.CreateDirectoryFromDirectoryPath(String);0
ShareX.HelpersLib.Helpers.CreateDirectoryFromFilePath(String);ShareX.HelpersLib.Helpers.CreateDirectoryFromFilePath(String);0
ShareX.HelpersLib.Helpers.GetFilenameSafe(String);ShareX.HelpersLib.Helpers.GetFilenameSafe(String);0
ShareX.HelpersLib.Helpers.ParseJSON(String,String);ShareX.HelpersLib.Helpers.ParseJSON(String,String);0
