Method_Parsed;Previous_Method_Parsed;ChgLines
ShareX.AfterCaptureForm.lvAfterUploadTasks_ItemSelectionChanged(Object,ListViewItemSelectionChangedEventArgs);ShareX.AfterCaptureForm.lvAfterUploadTasks_ItemSelectionChanged(Object,ListViewItemSelectionChangedEventArgs);0
ShareX.AfterCaptureForm.GetAfterUploadTasks();ShareX.AfterCaptureForm.GetAfterUploadTasks();0
ShareX.AfterCaptureForm.AddAfterUploadItems(AfterUploadTasks);ShareX.AfterCaptureForm.AddAfterUploadItems(AfterUploadTasks);0
ShareX.AfterCaptureForm.lvAfterUploadTasks_MouseDown(Object,MouseEventArgs);ShareX.AfterCaptureForm.lvAfterUploadTasks_MouseDown(Object,MouseEventArgs);0
ShareX.AfterCaptureForm.AfterCaptureForm_Shown(Object,EventArgs);ShareX.AfterCaptureForm.AfterCaptureForm_Shown(Object,EventArgs);0
ShareX.AfterCaptureForm.AfterCaptureForm(String,TaskSettings);ShareX.AfterCaptureForm.AfterCaptureForm(String,TaskSettings);0
ShareX.AfterCaptureForm.AfterCaptureForm(ImageInfo,TaskSettings);ShareX.AfterCaptureForm.AfterCaptureForm(ImageInfo,TaskSettings);0
ShareX.AfterCaptureForm.txtFileName_KeyDown(Object,KeyEventArgs);;0
ShareX.AfterCaptureForm.txtFileName_KeyUp(Object,KeyEventArgs);;0
ShareX.AfterCaptureForm.btnContinue_Click(Object,EventArgs);;0
ShareX.AfterUploadForm.AfterUploadForm(TaskInfo);ShareX.AfterUploadForm.AfterUploadForm(TaskInfo);2
ShareX.AfterUploadForm.AddFormat(String,String,ListViewGroup);ShareX.AfterUploadForm.AddFormat(String,String,ListViewGroup);0
ShareX.AfterUploadForm.tmrClose_Tick(Object,EventArgs);ShareX.AfterUploadForm.tmrClose_Tick(Object,EventArgs);0
ShareX.AfterUploadForm.btnCopyImage_Click(Object,EventArgs);ShareX.AfterUploadForm.btnCopyImage_Click(Object,EventArgs);0
ShareX.AfterUploadForm.btnCopyLink_Click(Object,EventArgs);ShareX.AfterUploadForm.btnCopyLink_Click(Object,EventArgs);1
ShareX.AfterUploadForm.btnOpenLink_Click(Object,EventArgs);ShareX.AfterUploadForm.btnOpenLink_Click(Object,EventArgs);0
